Hawaii Ocean Time-series : 29-Jan-2024 23:55:47
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, pn, 
0380200312, 070492, 233924,  124.5,  0.216,
0380200311, 070492, 233822,  129.4,  0.286,
0380200310, 070492, 233722,  134.3,  0.195,
0380200309, 070492, 233613,  140.2,  0.139,
0380200308, 070492, 233504,  150.3,  0.132,
0380200307, 070492, 233320,  177.2,  0.091,
0380201112, 070592, 222058,   50.9,  0.397,
0380201111, 070592, 222045,   50.8,  0.537,
0380201110, 070592, 222033,   50.7,  0.376,
0380201107, 070592, 221627,  135.8,  0.195,
0380201106, 070592, 221614,  135.8,  0.153,
0380201105, 070592, 221603,  135.8,  0.167,
0390201415, -00009, -00009,    9.6,  0.384,
0390201414, 080692, 144124,   29.6,  0.377,
0390201413, 080692, 144027,   49.1,  0.411,
0390201412, 080692, 143912,   79.3,  0.349,
0390201410, 080692, 143641,  104.4,  0.363,
0390201409, 080692, 143602,  128.6,  0.192,
0390201408, 080692, 143429,  155.4,  0.125,
0390201407, 080692, 143305,  179.6,  0.098,
0400200423, -00009, -00009,    6.6,  0.418,
0400200420, -00009, -00009,   25.6,  0.464,
0400200417, -00009, -00009,   44.5,  0.411,
0400200414, -00009, -00009,   75.7,  0.397,
0400200413, -00009, -00009,  100.4,  0.387,
0400200412, -00009, -00009,  120.0,  0.363,
0400200411, -00009, -00009,  125.2,  0.342,
0400200410, -00009, -00009,  130.1,  0.321,
0400200409, -00009, -00009,  135.1,  0.397,
0400200408, -00009, -00009,  140.3,  0.383,
0400200407, -00009, -00009,  150.3,  0.195,
0400200406, -00009, -00009,  174.0,  0.188,
0410200424, -00009, -00009,    2.8,  0.502,
0410200423, -00009, -00009,    6.5,  0.383,
0410200422, -00009, -00009,   10.4,  0.390,
0410200421, -00009, -00009,   15.4,  0.383,
0410200420, -00009, -00009,   20.4,  0.383,
0410200419, -00009, -00009,   25.3,  0.453,
0410200418, -00009, -00009,   30.4,  0.474,
0410200417, -00009, -00009,   40.6,  0.481,
0410200413, -00009, -00009,   76.4,  0.404,
0410200412, -00009, -00009,   91.6,  0.335,
0410200411, -00009, -00009,  100.8,  0.220,
0410200410, -00009, -00009,  105.7,  0.244,
0410200409, -00009, -00009,  110.8,  0.216,
0410200408, -00009, -00009,  119.9,  0.202,
0410200407, -00009, -00009,  125.4,  0.181,
0410200406, -00009, -00009,  149.7,  0.153,
0410200405, -00009, -00009,  175.4,  0.112,
0410201712, -00009, -00009,   99.9,  0.209,
0420200412, -00009, -00009,    5.0,  0.384,
0420200411, -00009, -00009,   45.0,  0.411,
0420200410, -00009, -00009,   80.0,  0.404,
0420200409, -00009, -00009,  100.0,  0.275,
0420200408, -00009, -00009,  150.0,  0.132,
0420200406, -00009, -00009,  170.0,  0.119,
0420200404, -00009, -00009,  190.0,  0.125,
0420200511, -00009, -00009,   25.0,  0.453,
0420200510, -00009, -00009,   60.0,  0.418,
0420200506, -00009, -00009,  110.0,  0.342,
0420200505, -00009, -00009,  125.0,  0.258,
0430200812, -00009, -00009,    5.0,  0.321,
0430200811, -00009, -00009,   25.0,  0.418,
0430200810, -00009, -00009,   45.0,  0.363,
0430200809, -00009, -00009,   75.0,  0.342,
0430200808, -00009, -00009,  100.0,  0.307,
0430200807, -00009, -00009,  125.0,  0.174,
0430200805, -00009, -00009,  150.0,  0.153,
0430200803, -00009, -00009,  175.0,  0.098,
0440200912, 012093, 232643,    4.3,  0.279,
0440200911, 012093, 232519,   25.0,  0.314,
0440200910, 012093, 232406,   45.1,  0.307,
0440200909, 012093, 232239,   72.6,  0.321,
0440200908, 012093, 232103,   99.8,  0.268,
0440200907, 012093, 231939,  120.6,  0.244,
0440200906, 012093, 231812,  145.5,  0.146,
0440200905, 012093, 231631,  177.2,  0.098,
0450200320, 021693, 223819,    6.8,  0.356,
0450200319, 021693, 223633,   24.6,  0.366,
0450200318, 021693, 223505,   44.8,  0.397,
0450200317, 021693, 223332,   60.3,  0.390,
0450200316, 021693, 223224,   65.0,  0.418,
0450200315, 021693, 223109,   71.0,  0.383,
0450200314, 021693, 222956,   75.0,  0.356,
0450200313, 021693, 222832,   80.3,  0.216,
0450200312, 021693, 222656,   95.2,  0.188,
0450200311, 021693, 222523,  100.5,  0.178,
0450200310, 021693, 222400,  105.4,  0.181,
0450200309, 021693, 222209,  125.2,  0.139,
0450200308, 021693, 222022,  150.6,  0.084,
0450200307, 021693, 221844,  169.9,  0.077,
0460200518, 041493, 153805,    5.5,  0.390,
0460200517, 041493, 153609,   28.6,  0.383,
0460200516, 041493, 153552,   28.0,  0.370,
0460200515, 041493, 153424,   44.8,  0.342,
0460200514, 041493, 153242,   74.6,  0.335,
0460200513, 041493, 153121,   89.7,  0.342,
0460200512, 041493, 153020,   99.8,  0.397,
0460200511, 041493, 152950,   99.8,  0.390,
0460200510, 041493, 152845,  109.0,  0.411,
0460200509, 041493, 152737,  126.0,  0.314,
0460200508, 041493, 152555,  140.5,  0.300,
0460200507, 041493, 152454,  148.2,  0.188,
0460200506, 041493, 152303,  174.1,  0.146,
0470200618, 052093, 172422,    7.2,  0.300,
0470200616, 052093, 172117,   27.5,  0.307,
0470200615, 052093, 171923,   48.2,  0.237,
0470200614, 052093, 171816,   48.2,  0.286,
0470200613, 052093, 171634,   78.7,  0.300,
0470200612, 052093, 171539,   78.8,  0.293,
0470200611, 052093, 171336,  103.8,  0.307,
0470200610, 052093, 171148,  121.3,  0.265,
0470200607, 052093, 170619,  174.8,  0.119,
0490200422, 091393, 224029,    7.0,  0.300,
0490200421, 091393, 223826,   25.5,  0.314,
0490200420, 091393, 223810,   25.2,  0.314,
0490200419, 091393, 223611,   47.0,  0.314,
0490200418, 091393, 223349,   76.8,  0.342,
0490200417, 091393, 223136,   98.7,  0.300,
0490200416, 091393, 223114,   98.8,  0.335,
0490200413, 091393, 222501,  122.5,  0.244,
0490200409, 091393, 221919,  149.4,  0.167,
0490200407, 091393, 221627,  177.4,  0.077,
0500200418, 102993, 023037,    7.3,  0.662,
0500200417, 102993, 022904,   27.4,  0.383,
0500200416, 102993, 022721,   50.1,  0.523,
0500200415, 102993, 022605,   55.9,  0.383,
0500200414, 102993, 022448,   74.0,  0.432,
0500200413, 102993, 022336,   90.6,  0.439,
0500200412, 102993, 022230,  100.4,  0.363,
0500200411, 102993, 022126,  104.8,  0.641,
0500200410, 102993, 022011,  109.5,  0.432,
0500200409, 102993, 021838,  113.9,  0.453,
0500200408, 102993, 021716,  125.2,  0.593,
0500200407, 102993, 021541,  150.8,  0.167,
0500200406, 102993, 021414,  174.5,  0.167,
0510200823, 012094, 212030,    6.9,  0.230,
0510200822, 012094, 211822,   12.6,  0.237,
0510200821, 012094, 211704,   27.6,  0.223,
0510200820, 012094, 211544,   46.4,  0.244,
0510200818, 012094, 211311,   62.8,  0.216,
0510200817, 012094, 211133,   72.9,  0.223,
0510200816, 012094, 211001,   84.9,  0.084,
0510200815, 012094, 210831,   99.3,  0.237,
0510200814, 012094, 210723,  116.2,  0.160,
0510200809, 012094, 210153,  175.9,  0.091,
0510201624, 012194, 231545,    6.8,  0.258,
0510201621, 012194, 231242,   25.5,  0.300,
0510201619, 012194, 231101,   53.4,  0.237,
0510201617, 012194, 230914,   76.9,  0.251,
0510201613, 012194, 230627,  101.1,  0.153,
0510201611, 012194, 230558,  101.8,  0.091,
0510201610, 012194, 230542,  101.9,  0.167,
0510201608, 012194, 230339,  127.1,  0.125,
0510201607, 012194, 230215,  150.6,  0.258,
0510201606, 012194, 230009,  173.7,  0.084,
0520200924, 021794, 195707,    5.5,  0.307,
0520200923, 021794, 195548,   25.2,  0.314,
0520200922, 021794, 195427,   44.8,  0.293,
0520200920, 021794, 194920,   69.8,  0.272,
0520200918, 021794, 194735,   74.8,  0.293,
0520200916, 021794, 194523,  100.1,  0.254,
0520200914, 021794, 194326,  126.3,  0.227,
0520200912, 021794, 194112,  149.8,  0.202,
0520200910, 021794, 193858,  176.1,  0.105,
0530201124, 030994, 205953,    5.6,  0.272,
0530201122, 030994, 205750,   25.4,  0.279,
0530201121, 030994, 205630,   45.6,  0.272,
0530201117, 030994, 205254,   75.3,  0.314,
0530201115, 030994, 205116,  100.6,  0.279,
0530201114, 030994, 204956,  126.2,  0.258,
0530201113, 030994, 204824,  140.8,  0.244,
0530201111, 030994, 204649,  147.1,  0.209,
0530201109, 030994, 204443,  175.7,  0.146,
0540200716, 061994, 045935,   25.5,  0.265,
0540200714, 061994, 045742,   46.3,  0.268,
0540200713, 061994, 045628,   49.2,  0.300,
0540200712, 061994, 045439,   75.0,  0.307,
0540200710, 061994, 045315,  113.9,  0.279,
0540200709, 061994, 045200,  132.9,  0.300,
0540200707, 061994, 044951,  150.5,  0.146,
0540200706, 061994, 044817,  175.8,  0.112,
0550200815, 072594, 211726,    4.8,  0.335,
0550200814, 072594, 211614,   25.3,  0.303,
0550200813, 072594, 211513,   46.0,  0.390,
0550200812, 072594, 211344,   75.2,  0.335,
0550200811, 072594, 211235,   90.3,  0.342,
0550200810, 072594, 211158,  100.5,  0.321,
0550200809, 072594, 211036,  110.7,  0.314,
0550200808, 072594, 210942,  125.6,  0.286,
0550200807, 072594, 210836,  150.7,  0.098,
0550200806, 072594, 210732,  174.5,  0.132,
0560200817, 083094, 162541,    4.7,  0.711,
0560200816, 083094, 162421,   25.2,  0.345,
0560200815, 083094, 162318,   44.5,  0.349,
0560200814, 083094, 162146,   75.2,  0.425,
0560200813, 083094, 162021,   94.2,  0.376,
0560200812, 083094, 161927,  100.4,  0.321,
0560200811, 083094, 161822,  104.7,  0.328,
0560200810, 083094, 161732,  109.7,  0.321,
0560200809, 083094, 161649,  114.8,  0.265,
0560200808, 083094, 161544,  125.0,  0.237,
0560200807, 083094, 161419,  149.8,  0.174,
0560200806, 083094, 161254,  174.8,  0.132,
0560201113, 083194, 012530,    5.5,  0.321,
0560201110, 083194, 012312,   24.7,  0.363,
0560201109, 083194, 012148,   45.4,  0.286,
0560201108, 083194, 012042,   76.1,  0.328,
0560201107, 083194, 011926,  101.5,  0.300,
0560201106, 083194, 011809,  125.6,  0.265,
0560201105, 083194, 011653,  151.1,  0.174,
0560201104, 083194, 011457,  178.5,  0.146,
0570200716, 092394, 165913,    5.5,  0.314,
0570200715, 092394, 165731,   24.7,  0.324,
0570200714, 092394, 165601,   45.6,  0.335,
0570200713, 092394, 165440,   75.1,  0.328,
0570200712, 092394, 165321,   99.5,  0.286,
0570200711, 092394, 165227,  109.9,  0.300,
0570200710, 092394, 165123,  114.5,  0.307,
0570200709, 092394, 165026,  119.6,  0.314,
0570200708, 092394, 164928,  125.0,  0.286,
0570200707, 092394, 164828,  129.6,  0.237,
0570200706, 092394, 164703,  150.5,  0.146,
0570200705, 092394, 164526,  175.5,  0.119,
0580200319, 101594, 010049,    5.0,  0.272,
0580200318, 101594, 005924,   25.6,  0.289,
0580200317, 101594, 005812,   45.2,  0.272,
0580200313, 101594, 005519,   75.3,  0.300,
0580200312, 101594, 005412,  100.1,  0.303,
0580200311, 101594, 005327,  105.2,  0.286,
0580200310, 101594, 005245,  109.3,  0.265,
0580200309, 101594, 005135,  115.9,  0.251,
0580200308, 101594, 005048,  120.2,  0.258,
0580200307, 101594, 005009,  125.1,  0.230,
0580200306, 101594, 004858,  149.8,  0.112,
0580200305, 101594, 004719,  174.9,  0.098,
0590200123, 111994, 195457,    5.6,  0.223,
0590200120, 111994, 195223,   25.4,  0.195,
0590200119, 111994, 195031,   45.3,  0.293,
0590200111, 111994, 194546,   76.2,  0.293,
0590200110, 111994, 194411,   93.8,  0.237,
0590200109, 111994, 194239,  110.8,  0.220,
0590200108, 111994, 194104,  127.6,  0.160,
0590200107, 111994, 193915,  152.9,  0.105,
0590200106, 111994, 193702,  183.0,  0.084,
0600200316, -00009, -00009,    4.4,  0.307,
0600200315, -00009, -00009,   24.4,  0.338,
0600200313, -00009, -00009,   73.5,  0.286,
0600200312, -00009, -00009,  101.1,  0.300,
0600200311, -00009, -00009,  110.2,  0.258,
0600200310, -00009, -00009,  119.3,  0.237,
0600200309, -00009, -00009,  123.3,  0.237,
0600200308, -00009, -00009,  128.9,  0.237,
0600200307, -00009, -00009,  139.0,  0.174,
0600200306, -00009, -00009,  147.5,  0.126,
0600200305, -00009, -00009,  173.1,  0.098,
0610200713, 030495, 173826,    4.8,  0.216,
0610200712, 030495, 173708,   25.2,  0.206,
0610200711, 030495, 173601,   46.0,  0.230,
0610200710, 030495, 173448,   74.9,  0.202,
0610200709, 030495, 173317,  102.9,  0.209,
0610200708, 030495, 173109,  127.3,  0.132,
0610200707, 030495, 172947,  147.1,  0.105,
0610200706, 030495, 172820,  173.8,  0.077,
0610200812, 030495, 203014,   25.0,  0.272,
0610200811, 030495, 202824,   45.4,  0.230,
0620200316, 040695, 010405,    5.3,  0.698,
0620200315, 040695, 010230,   24.7,  0.600,
0620200314, 040695, 010104,   45.1,  0.432,
0620200313, 040695, 005928,   75.3,  0.391,
0620200312, 040695, 005750,   99.4,  0.411,
0620200311, 040695, 005639,  109.5,  0.349,
0620200310, 040695, 005520,  124.9,  0.335,
0620200309, 040695, 005350,  140.1,  0.258,
0620200308, 040695, 005242,  149.9,  0.223,
0620200307, 040695, 005137,  159.9,  0.153,
0620200306, 040695, 005005,  175.4,  0.139,
0630200321, 050795, 025750,    4.7,  0.328,
0630200318, 050795, 025610,   25.0,  0.289,
0630200317, 050795, 025454,   44.9,  0.307,
0630200314, 050795, 025233,  100.9,  0.289,
0630200313, 050795, 025111,  125.6,  0.181,
0630200311, 050795, 024912,  159.3,  0.125,
0630200309, 050795, 024752,  174.1,  0.146,
0630200418, 050795, 055932,   74.8,  0.237,
0640200117, 072995, 190626,   99.9,  0.509,
0640200115, 072995, 190314,  125.1,  0.328,
0640200114, 072995, 190132,  149.6,  0.167,
0640200113, 072995, 185942,  174.9,  0.160,
0650200716, 082895, 162953,    4.7,  0.300,
0650200715, 082895, 162851,    9.8,  0.300,
0650200714, 082895, 162736,   24.5,  0.324,
0650200713, 082895, 162611,   44.1,  0.342,
0650200712, 082895, 162458,   59.3,  0.383,
0650200711, 082895, 162346,   74.4,  0.349,
0650200710, 082895, 162118,   91.3,  0.272,
0650200709, 082895, 161950,  108.4,  0.279,
0650200708, 082895, 161806,  129.2,  0.209,
0650200707, 082895, 161615,  139.7,  0.153,
0650200706, 082895, 161513,  149.8,  0.105,
0650200705, 082895, 161336,  175.4,  0.091,
0660201020, 092795, 215206,    4.2,  0.251,
0660201018, 092795, 215045,   24.8,  0.282,
0660201017, 092795, 214934,   45.2,  0.307,
0660201016, 092795, 214817,   74.0,  0.335,
0660201014, 092795, 214644,  100.0,  0.328,
0660201013, 092795, 214525,  124.6,  0.223,
0660201011, 092795, 214356,  149.4,  0.112,
0660201009, 092795, 214231,  174.5,  0.105,
0670200316, 102695, 205029,    5.1,  0.356,
0670200315, 102695, 204918,   25.0,  0.310,
0670200314, 102695, 204814,   44.7,  0.356,
0670200313, 102695, 204657,   75.3,  0.321,
0670200312, 102695, 204542,   89.3,  0.286,
0670200311, 102695, 204448,   99.5,  0.279,
0670200310, 102695, 204354,  104.1,  0.272,
0670200309, 102695, 204256,  114.6,  0.209,
0670200308, 102695, 204152,  124.5,  0.153,
0670200307, 102695, 204041,  149.3,  0.126,
0670200306, 102695, 203931,  174.5,  0.091,
0670200305, 102695, 203820,  199.5,  0.077,
0680200319, 111695, 205113,    4.3,  0.314,
0680200315, 111695, 204837,   25.1,  0.328,
0680200313, 111695, 204738,   44.8,  0.237,
0680200312, 111695, 204638,   74.5,  0.279,
0680200311, 111695, 204530,   93.8,  0.251,
0680200309, 111695, 204441,   99.3,  0.258,
0680200308, 111695, 204348,  110.3,  0.195,
0680200307, 111695, 204252,  124.6,  0.153,
0680200306, 111695, 204148,  149.9,  0.105,
0680200305, 111695, 204043,  175.7,  0.098,
0680200416, 111695, 235314,   25.2,  0.328,
0680200414, 111695, 235156,   44.7,  0.342,
0680200410, 111695, 234803,   99.2,  0.303,
0680201124, 111795, 205632,    4.6,  0.321,
0680201121, 111795, 205436,   24.6,  0.488,
